,exchange,datetime,ask_size,ask,bid,bid_size,spread,mid_price,vwap,levels
55,bigone,2023-04-25T03:21:46.596Z,14.547763999999999,1378871.26,1361003.5699999998,8.440486,17867.690000000002,27420.0,27470.8729,50
56,bigone,2023-04-25T03:21:47.987Z,14.547763999999999,1378871.26,1361003.6099999999,8.440486,17867.65,27420.0,27470.874,50
57,bigone,2023-04-25T03:21:49.363Z,14.547763999999999,1378871.26,1361003.69,8.440486,17867.57,27420.0,27470.8762,50
58,bigone,2023-04-25T03:21:50.765Z,14.547763999999999,1378871.26,1361003.73,8.440486,17867.53,27420.0,27470.8773,50
59,bigone,2023-04-25T03:21:52.148Z,14.547763999999999,1378871.26,1361003.77,8.440486,17867.489999999998,27420.0,27470.8784,50
60,bigone,2023-04-25T03:21:53.546Z,14.547763999999999,1378871.26,1361003.85,8.440486,17867.41,27420.0,27470.8806,50
61,bigone,2023-04-25T03:21:54.927Z,14.547763999999999,1378871.26,1361003.8900000001,8.440486,17867.370000000003,27420.0,27470.8817,50
62,bigone,2023-04-25T03:21:56.325Z,14.547763999999999,1378871.26,1361003.9300000002,8.440486,17867.33,27420.0,27470.8828,50
63,bigone,2023-04-25T03:21:57.723Z,14.547763999999999,1378871.26,1361004.0100000002,8.440486,17867.25,27420.0,27470.885,50
64,bigone,2023-04-25T03:21:59.101Z,14.547763999999999,1378871.26,1361004.05,8.440486,17867.21,27420.0,27470.8861,50
65,bigone,2023-04-25T03:22:00.515Z,14.547763999999999,1378871.26,1361004.13,8.440486,17867.129999999997,27420.0,27470.8883,50
66,bigone,2023-04-25T03:22:01.898Z,14.547763999999999,1378871.26,1361004.17,8.440486,17867.09,27420.0,27470.8894,50
67,bigone,2023-04-25T03:22:03.331Z,14.547763999999999,1378871.26,1361004.21,8.440486,17867.050000000003,27420.0,27470.8905,50
68,bigone,2023-04-25T03:22:04.718Z,14.547763999999999,1378871.26,1361004.29,8.440486,17866.97,27420.0,27470.8927,50
69,bigone,2023-04-25T03:22:06.092Z,14.547763999999999,1378871.26,1361004.33,8.440486,17866.93,27420.0,27470.8938,50
70,bigone,2023-04-25T03:22:07.498Z,14.547763999999999,1378871.26,1360624.9200000002,7.922727999999999,18246.34,27420.0,27472.6266,50
71,bigone,2023-04-25T03:22:08.891Z,14.547763999999999,1378871.26,1361004.4500000002,8.440486,17866.809999999998,27420.0,27470.8972,50
72,bigone,2023-04-25T03:22:10.286Z,14.547763999999999,1378871.26,1361004.4900000002,8.440486,17866.77,27420.0,27470.8983,50
73,bigone,2023-04-25T03:22:11.673Z,14.547763999999999,1378871.26,1361004.5699999998,8.440486,17866.690000000002,27420.0,27470.9005,50
74,bigone,2023-04-25T03:22:13.064Z,14.547763999999999,1378871.26,1361004.6099999999,8.440486,17866.65,27420.0,27470.9016,50
75,bigone,2023-04-25T03:22:14.453Z,14.547763999999999,1378871.26,1361004.65,8.440486,17866.61,27420.0,27470.9027,50
76,bigone,2023-04-25T03:22:15.859Z,14.547763999999999,1378871.26,1361004.73,8.440486,17866.53,27420.0,27470.9049,50
77,bigone,2023-04-25T03:22:17.265Z,14.547763999999999,1378871.26,1361004.77,8.440486,17866.489999999998,27420.0,27470.906,50
78,bigone,2023-04-25T03:22:18.672Z,14.547763999999999,1378871.26,1361004.85,8.440486,17866.41,27420.0,27470.9082,50
79,bigone,2023-04-25T03:22:20.044Z,14.547763999999999,1378871.26,1361004.8900000001,8.440486,17866.370000000003,27420.0,27470.9093,50
80,bigone,2023-04-25T03:22:21.448Z,14.547763999999999,1378871.26,1361004.9300000002,8.440486,17866.33,27420.0,27470.9104,50
81,bigone,2023-04-25T03:22:22.832Z,14.547763999999999,1378871.26,1361005.0100000002,8.440486,17866.25,27420.0,27470.9126,50
82,bigone,2023-04-25T03:22:24.234Z,14.547763999999999,1378871.26,1361005.05,8.440486,17866.21,27420.0,27470.9137,50
83,bigone,2023-04-25T03:22:25.674Z,14.547763999999999,1378871.26,1360625.28,7.922727999999999,18245.980000000003,27420.0,27472.6382,50
84,bigone,2023-04-25T03:22:27.081Z,14.547763999999999,1378871.26,1361005.17,8.440486,17866.09,27420.0,27470.917,50
85,bigone,2023-04-25T03:22:28.468Z,14.547763999999999,1378871.26,1361005.21,8.440486,17866.050000000003,27420.0,27470.9181,50
86,bigone,2023-04-25T03:22:29.869Z,14.547763999999999,1378871.26,1361005.29,8.440486,17865.97,27420.0,27470.9203,50
87,bigone,2023-04-25T03:22:31.246Z,14.547763999999999,1378871.26,1361005.33,8.440486,17865.93,27420.0,27470.9214,50
88,bigone,2023-04-25T03:22:32.646Z,14.547763999999999,1378871.26,1361005.3900000001,8.440486,17865.870000000003,27420.0,27470.9232,50
89,bigone,2023-04-25T03:22:34.027Z,14.547763999999999,1378871.26,1361005.4500000002,8.440486,17865.809999999998,27420.0,27470.9248,50
90,bigone,2023-04-25T03:22:35.418Z,14.547763999999999,1378871.26,1361005.4900000002,8.440486,17865.77,27420.0,27470.9259,50
91,bigone,2023-04-25T03:22:36.809Z,14.547763999999999,1378871.26,1361005.5699999998,8.440486,17865.690000000002,27420.0,27470.9281,50
92,bigone,2023-04-25T03:22:38.204Z,14.547763999999999,1378871.26,1361005.6099999999,8.440486,17865.65,27420.0,27470.9292,50
93,bigone,2023-04-25T03:22:39.585Z,14.547763999999999,1378871.26,1361005.65,8.440486,17865.61,27420.0,27470.9303,50
94,bigone,2023-04-25T03:22:40.970Z,14.547763999999999,1378871.26,1361005.73,8.440486,17865.53,27420.0,27470.9325,50
95,bigone,2023-04-25T03:22:42.376Z,14.547763999999999,1378871.26,1361005.77,8.440486,17865.489999999998,27420.0,27470.9336,50
96,bigone,2023-04-25T03:22:43.766Z,14.547763999999999,1378871.26,1361005.85,8.440486,17865.41,27420.0,27470.9358,50
97,bigone,2023-04-25T03:22:45.176Z,14.547763999999999,1378871.26,1361005.8900000001,8.440486,17865.370000000003,27420.0,27470.9369,50
98,bigone,2023-04-25T03:22:46.587Z,14.547763999999999,1378871.26,1361005.9300000002,8.440486,17865.33,27420.0,27470.938,50
99,bigone,2023-04-25T03:22:47.982Z,14.547763999999999,1378871.26,1361006.0100000002,8.440486,17865.25,27420.0,27470.9402,50
100,bigone,2023-04-25T03:22:49.363Z,14.547763999999999,1378871.26,1361006.05,8.440486,17865.21,27420.0,27470.9413,50
101,bigone,2023-04-25T03:22:50.741Z,14.547763999999999,1378871.26,1360625.77,7.733848,18245.49,27420.0,27473.4368,50
102,bigone,2023-04-25T03:22:52.131Z,14.547763999999999,1378871.26,1361006.17,8.440486,17865.09,27420.0,27470.9446,50
103,bigone,2023-04-25T03:22:53.527Z,14.547763999999999,1378871.26,1361006.21,8.440486,17865.050000000003,27420.0,27470.9457,50
104,bigone,2023-04-25T03:22:54.930Z,14.547763999999999,1378871.26,1361006.29,8.440486,17864.97,27420.0,27470.9479,50
105,bigone,2023-04-25T03:22:56.327Z,14.547763999999999,1378871.26,1361006.33,8.440486,17864.93,27420.0,27470.949,50
106,bigone,2023-04-25T03:22:57.716Z,14.547763999999999,1378871.26,1361006.37,8.440486,17864.89,27420.0,27470.9501,50
107,bigone,2023-04-25T03:22:59.099Z,14.547763999999999,1378871.26,1361006.4500000002,8.440486,17864.809999999998,27420.0,27470.9524,50
108,bigone,2023-04-25T03:23:00.488Z,14.547763999999999,1378871.26,1361006.4900000002,8.440486,17864.77,27420.0,27470.9535,50
109,bigone,2023-04-25T03:23:01.881Z,14.547763999999999,1378871.26,1361006.55,8.440486,17864.71,27420.0,27470.9552,50
110,bigone,2023-04-25T03:23:03.256Z,14.547763999999999,1378871.26,1361006.6099999999,8.440486,17864.65,27420.0,27470.9568,50
111,bigone,2023-04-25T03:23:04.647Z,14.547763999999999,1378871.26,1361006.65,8.440486,17864.61,27420.0,27470.9579,50
112,bigone,2023-04-25T03:23:06.045Z,14.547763999999999,1378871.26,1361006.73,8.440486,17864.53,27420.0,27470.9601,50
113,bigone,2023-04-25T03:23:07.430Z,14.547763999999999,1378871.26,1361006.77,8.440486,17864.489999999998,27420.0,27470.9612,50
114,bigone,2023-04-25T03:23:08.828Z,14.547763999999999,1378871.26,1361006.81,8.440486,17864.449999999997,27420.0,27470.9623,50
